,id,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?,What are your top priorities for Clifton Beach in the next year? You can select up to 3.
471,192dup,Below 15 years,Female,,Liaquatabad,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
472,193,Below 15 years,Female,,Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
473,193dup,Below 15 years,Female,,Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
474,193dup,Below 15 years,Female,,Gulshan-e-Iqbal,,,"Natural areas (like: forests, gardens, etc)"
475,194,Below 15 years,Female,,New Karachi Town,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
476,195,Below 15 years,Female,,Garden,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
477,195dup,Below 15 years,Female,,Garden,,,"Commerce (like: restaurants, bazaars, malls, etc)"
478,195dup,Below 15 years,Female,,Garden,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
479,196,Below 15 years,Female,,Garden,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
480,196dup,Below 15 years,Female,,Garden,,,"Natural areas (like: forests, gardens, etc)"
481,196dup,Below 15 years,Female,,Garden,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
482,197,Below 15 years,Female,,Jamshed Quarters,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
483,197dup,Below 15 years,Female,,Jamshed Quarters,,,"Natural areas (like: forests, gardens, etc)"
484,197dup,Below 15 years,Female,,Jamshed Quarters,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
485,198,Below 15 years,Female,,Gadap,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
486,198dup,Below 15 years,Female,,Gadap,,,"Built-up areas (like: housing, offices, amusement parks, etc)"
487,198dup,Below 15 years,Female,,Gadap,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
488,199,Below 15 years,Female,,Jamshed Quarters,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
489,200,Below 15 years,Female,,Korangi,,,"Built-up areas (like: housing, offices, amusement parks, etc)"
490,201,Below 15 years,Female,,Gulshan-e-Iqbal,,,"Built-up areas (like: housing, offices, amusement parks, etc)"
491,201dup,Below 15 years,Female,,Gulshan-e-Iqbal,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
492,201dup,Below 15 years,Female,,Gulshan-e-Iqbal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
493,202,Below 15 years,Female,,Garden,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
494,202dup,Below 15 years,Female,,Garden,,,"Natural areas (like: forests, gardens, etc)"
495,202dup,Below 15 years,Female,,Garden,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
496,203,Below 15 years,Female,,Garden,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
497,204,Below 15 years,Female,,Garden,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
498,204dup,Below 15 years,Female,,Garden,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
499,204dup,Below 15 years,Female,,Garden,,,"Natural areas (like: forests, gardens, etc)"
500,205,Below 15 years,Female,,Lyari,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
501,205dup,Below 15 years,Female,,Lyari,,,"Built-up areas (like: housing, offices, amusement parks, etc)"
502,205dup,Below 15 years,Female,,Lyari,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
503,206,Below 15 years,Female,,Garden,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
504,207,Below 15 years,Female,,Garden,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
505,208,Below 15 years,Female,,Gulshan-e-Iqbal,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
506,208dup,Below 15 years,Female,,Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
507,208dup,Below 15 years,Female,,Gulshan-e-Iqbal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
508,209,Below 15 years,Female,,Garden,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
509,209dup,Below 15 years,Female,,Garden,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
510,209dup,Below 15 years,Female,,Garden,,,"Commerce (like: restaurants, bazaars, malls, etc)"
511,210,Below 15 years,Female,,Jamshed Quarters,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
512,210dup,Below 15 years,Female,,Jamshed Quarters,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
513,210dup,Below 15 years,Female,,Jamshed Quarters,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
514,211,Below 15 years,Female,,Garden,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
515,211dup,Below 15 years,Female,,Garden,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
516,211dup,Below 15 years,Female,,Garden,,,"Natural areas (like: forests, gardens, etc)"
517,212,Below 15 years,Female,,Garden,,,"Amenities (like: washrooms, washing areas, lockers, etc)"
518,212dup,Below 15 years,Female,,Garden,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
519,212dup,Below 15 years,Female,,Garden,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
520,213,25 - 44 years,Male,"200,001 and above",Ferozabad,Helping hawkers and supporting them to upgrade their business,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
521,213dup,25 - 44 years,Male,"200,001 and above",Ferozabad,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
522,213dup,25 - 44 years,Male,"200,001 and above",Ferozabad,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
523,214,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Cleanliness,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
524,214dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
525,214dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
526,215,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
527,215dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
528,215dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Civil Lines,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
529,216,25 - 44 years,Female,Prefer not to answer,Outside Karachi,,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
530,216dup,25 - 44 years,Female,Prefer not to answer,Outside Karachi,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
531,216dup,25 - 44 years,Female,Prefer not to answer,Outside Karachi,,,"Natural areas (like: forests, gardens, etc)"
532,217,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,if it was cleaner and easier to access,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
533,217dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
534,217dup,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
535,218,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,DHA should stop dumping sewage into the sea,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
536,218dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
537,218dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Clifton Cantonment,,,"Natural areas (like: forests, gardens, etc)"
538,219,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,"Lights at night, some benches and maybe women officers because the men police mostly don't make us feel safe. Also some little shops to buy snacks or seashells etc. ",Indifferent,"Amenities (like: washrooms, washing areas, lockers, etc)"
539,219dup,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,,,"Natural areas (like: forests, gardens, etc)"
540,219dup,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
541,220,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"If Sea View Road was pedestrianized, Clifton Beach would easily become my favourite place in Karachi. During the lockdown when cars weren't allowed on Sea View Road it was both a good and sad time because I could see how many people wanted to use public spaces and regularly exercised, walked, skated, and cycled at Sea View road, at the same time it was heartbreaking to see how the policed did not allow people from other areas (especially working class men and women) to use the beach. ",Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
542,220dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
543,220dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
544,221,25 - 44 years,Female,"175,000 - 200,000 rupees",Ferozabad,,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
545,221dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Ferozabad,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
546,221dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Ferozabad,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
547,222,15 - 24 years,Prefer not to answer,"125,001 - 150,000 rupees",Clifton Cantonment,,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
548,222dup,15 - 24 years,Prefer not to answer,"125,001 - 150,000 rupees",Clifton Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
549,222dup,15 - 24 years,Prefer not to answer,"125,001 - 150,000 rupees",Clifton Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
550,223,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
551,223dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
552,223dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
553,224,45 years and above,Male,"100,001 - 125,000 rupees",Malir Cantonment,"Freedom, safe for couples, safe for children, All types of drinks.",Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
554,224dup,45 years and above,Male,"100,001 - 125,000 rupees",Malir Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
555,224dup,45 years and above,Male,"100,001 - 125,000 rupees",Malir Cantonment,,,"Commerce (like: restaurants, bazaars, malls, etc)"
556,225,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Cleanliness and safety ,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
557,225dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
558,225dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,,"Natural areas (like: forests, gardens, etc)"
559,226,15 - 24 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,"Since Clifton beach is the most accessible beach for urban Karachi. It should be developed according to coastal standards around the world. The walkablity should be improved. The beach should be made accessible for differently abled person.

The entry of parks and recreational spots should be free of cost but secured by guards. Corporations and Housing schemes should stop blocking the access to the beach. Already, they had encroaches so much of the space. That space could have been utilized to make umbrella shades and shady seats like in western and middle eastern beaches.

Lastly, the beach of McDonald's/AK khan park is so smelly because of stagnant water. Special arrangements should be made to clean that mess because it creates a bad impression on tourist or visitors dining at multinational brand McDonalds. ",Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
560,226dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
561,226dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
562,227,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"if it didn't smell like sewage water, it's the only accessible beach I can visit and even then the experience is made bad because of the pollution there. ",Not Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
563,227dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
564,227dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,,,"Natural areas (like: forests, gardens, etc)"
565,228,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Clean water and safe water sports,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
566,228dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
567,228dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Natural areas (like: forests, gardens, etc)"
568,229,15 - 24 years,Male,"200,001 and above",Faisal Cantonment,"Stop encroaching the beach. It is the city's heritage. We do not want huge towers built upon the oldest beach in Urban Karachi. Karachi ain't no Dubai. Make the beach as natural as possible while at the same time offering services such as clean toilets. Also, STOP THE SEWERAGE WATER FROM SURROUNDING AREAS GETTING INTO THE SEA WITHOUT TREATMENT!!!!",Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
569,229dup,15 - 24 years,Male,"200,001 and above",Faisal Cantonment,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
570,229dup,15 - 24 years,Male,"200,001 and above",Faisal Cantonment,,,"Natural areas (like: forests, gardens, etc)"
571,230,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,The survey pretty much covered everything ,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
572,230dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
573,230dup,15 - 24 years,Male,"100,001 - 125,000 rupees",Airport,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
574,231,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,Owning a car and not relying on family for going there,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
575,231dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
576,231dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
577,232,25 - 44 years,Male,"200,001 and above",Shah Faisal,Clifton beach shouldn't be under CBC,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
578,232dup,25 - 44 years,Male,"200,001 and above",Shah Faisal,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
579,232dup,25 - 44 years,Male,"200,001 and above",Shah Faisal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
580,233,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Draining shit into the sea right on the beach needs to stop ASAP.,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
581,233dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
582,233dup,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
583,234,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,To keep it as it is with little cleanliness.,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
584,235,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
585,235dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
586,235dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,,"Natural areas (like: forests, gardens, etc)"
587,236,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Make it clean,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
588,236dup,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Natural areas (like: forests, gardens, etc)"
589,236dup,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
590,237,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,"Access via public transport. I live very far and cannot access the beach as often as I would like to. Plus, safety. I always have to find 1 person willing to go with me, don't feel safe alone. ",Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
591,237dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
592,237dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
593,238,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
594,238dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
595,238dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
596,239,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Less pollution. I think just keeping the beach clean will do. If authorities place other facilities I think it will be over done. We want beaches to remain natural and away from material luxury (beach is a luxury in it self). I want it to look as beautiful as beaches look in tumblr or Pinterest posts or in  indie hollywood films,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
597,239dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
598,239dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
599,240,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,"cleanliness, access to bathrooms/rest rooms, women friendly",Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
600,240dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
601,241,25 - 44 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,"Never go there to enjoy or anything. It is always when I am passing through DHA I take the sea view road just to drive past it. Last I went to that beach was around 6 years back when our class decided to stop there for a few minutes after a batch breakfast nearby. 1. Cleaning
2. A Female friendly environment
3. Plantation along the beach to give some natural shade
4. Safe parking space ",Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
602,241dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,"Natural areas (like: forests, gardens, etc)"
603,241dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
604,242,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,cleanliness and safety,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
605,242dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Commerce (like: restaurants, bazaars, malls, etc)"
606,242dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
607,243,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
608,243dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
609,243dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
610,244,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Cleanliness is the most important. 
Lighting in the area 
Safe spots to sit and unwind especially for women, children, and transgenders. 
Patrolling of security on the beach for making visitors feel safe. Both male and female officers. 

Hawkers/vendors be provided a dedicated area so that they may not unnecessarily make visitors uncomfortable by sitting on the path. 

Suggestions:
Positive representation of the beach in media for building confidence of visitors. 

Involvement of corporations through CSR. They can get naming rights for certain portions against their spending. ",Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
611,244dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
612,244dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
613,245,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,"Clean beach and clean sea, surfing and ferry facilities with all the safety measures put in place.",Indifferent,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
614,245dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
615,245dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
616,246,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Cleanliness. Safety. Space for families ,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
617,246dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,,"Natural areas (like: forests, gardens, etc)"
618,246dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
619,247,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"It�s in the shared memory of many of our childhood phase. I would like it to be Clean and maintained and owned by all and every single karachi item without gentrifying n dividing the citizens among class. 
But I also want fines to be paid for those who litter on the beach and encroach on the beech aka the mega projects! The sewerage disposal, the land reclamation ",Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
620,247dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
621,247dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
622,248,45 years and above,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Easy access into the sea especially keeping older people in mind ie easy to walk pathways into the sea.,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
623,248dup,45 years and above,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,,"Natural areas (like: forests, gardens, etc)"
624,248dup,45 years and above,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
625,249,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,Having garbage removed regularly.,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
626,249dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
627,249dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
628,250,15 - 24 years,Male,"75,001 - 100,000 rupees",Outside Karachi,"Accessibility, cleanliness and shared sense of community",Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
629,250dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Outside Karachi,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
630,250dup,15 - 24 years,Male,"75,001 - 100,000 rupees",Outside Karachi,,,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)"
631,251,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness and safety. As the public itself is responsible for littering, fines and penalties may help curb this problem and also help generate revenue for the local authorities, which in turn can be reinvested to develop the infrastructure around the area. ",Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
632,251dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,,,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)"
633,251dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
634,252,25 - 44 years,Female,"200,001 and above",Outside Karachi,,Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
635,252dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,,,"Natural areas (like: forests, gardens, etc)"
636,252dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
637,253,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,"Cleanliness is the most important bit. The introduction of biking lane on sea view road, I believe, is a great initiative! More water sports activities, as available on the world renowned beaches - but it shouldn't come at a cost for people with their incomes linked to current beach activities",Important,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
638,253dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,,,"Natural areas (like: forests, gardens, etc)"
639,253dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,,,"Seating (like: beach umbrellas for shade, picnic benches, etc)"
640,254,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Clean Beaches ,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
641,254dup,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
642,254dup,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,,,"Natural areas (like: forests, gardens, etc)"
643,255,25 - 44 years,Male,Prefer not to answer,Nazimabad,,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
644,255dup,25 - 44 years,Male,Prefer not to answer,Nazimabad,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
645,255dup,25 - 44 years,Male,Prefer not to answer,Nazimabad,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
646,256,25 - 44 years,Male,"75,001 - 100,000 rupees",Garden,,Indifferent,"Amenities (like: washrooms, washing areas, lockers, etc)"
647,256dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Garden,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
648,256dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Garden,,,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)"
649,257,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Important,"Amenities (like: washrooms, washing areas, lockers, etc)"
650,257dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)"
651,257dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,,"Natural areas (like: forests, gardens, etc)"
